title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_power,spec_current_rating,spec_capacity,spec_kva_rating,Clean_Name,Current_A,Voltage_V,Power_W
100ah 192v MPPT Yohako Solar Charge Controller Available,350000.0,192V,,,,,,Charge Controllers,1,192V,,,000100Ah,,MPPT Yohako Solar Charge Controller Available,100,192,
Solar MPPT 100ahs Must,250000.0,,,,,,,Charge Controllers,1,,,,,,Solar MPPT Must,100,,
120a/48v Felicity Mppt Solar Charge Controller,310000.0,48V,,,,,,Charge Controllers,1,48V,,000120A,,,Felicity Mppt Solar Charge Controller,120,48,
Felicity 60a Charger Controller,135000.0,,,,,,,Charge Controllers,1,,,60A,,,Felicity Charger Controller,60,,
30 Amps PWM Charge Controller,25000.0,,,,,,,Charge Controllers,1,,,00030A,,,PWM Charge Controller,30,,
Felicity 60a 48v MPPT Charge Controller,175000.0,48V,,,,,,Charge Controllers,1,48V,,60A,,,Felicity MPPT Charge Controller,60,48,
80ah Felicity Charge Controller,170000.0,,,,,,,Charge Controllers,1,,,,00080Ah,,Felicity Charge Controller,80,,
100a Mppt Felicity Solar Charge Controller 12/24/48v Availab,230000.0,48V,,,,,,Charge Controllers,1,48V,,000100A,,,Mppt Felicity Solar Charge Controller Availab,100,48,
60a 12v 24v 48v Dc Power Solar Charge Controllers,135000.0,12V,,,,,,Charge Controllers,1,12V,,00060A,,,Dc Power Solar Charge Controllers,60,12/24/48,
100amp Felicity Charger Controller MPPT,310000.0,,,,,,,Charge Controllers,1,,,000100A,,,Felicity Charger Controller MPPT,100,,
SMS MPPT Charge Controller,55000.0,,,,,,,Charge Controllers,1,,,,,,SMS MPPT Charge Controller,,,
Blue Power Solar Charge Controller MPPT 120ah 48v,230000.0,,,,,,,Charge Controllers,1,,,,120Ah,,Blue Power Solar Charge Controller MPPT,120,48,
Charge Controller,43000.0,,,,,,,Charge Controllers,1,,,30A,,,Charge Controller,,,
"Sunfield 80amps Charge Controller We Have 30, 60, 100amps",190000.0,,,,,,,Charge Controllers,1,,,80A,,,Sunfield Charge Controller We Have,80/100,,
60a MPPT Solar Charger Controller 12/24v,45000.0,,,,,,,Charge Controllers,1,,,00060A,,,MPPT Solar Charger Controller,60,24,
60a (96v) Charge Controller,180000.0,96V,,,,,,Charge Controllers,1,96V,,00060A,,,Charge Controller,60,96,
Charge Controller,190000.0,,,,,,,Charge Controllers,1,,,,,,Charge Controller,,,
60amps MPPT Charge Controller Very Strong and Quality,130000.0,,,,,,,Charge Controllers,1,,,00060A,,,MPPT Charge Controller Very Strong and Quality,60,,
Sunergy 100a MMPT Charge Controler 12v/24v/36v/48v,130000.0,12V,,,,,,Charge Controllers,1,12V,,100A,,,Sunergy MMPT Charge Controler,100,12/24/36/48,
Sachet Inverter,55000.0,,,,,,,Charge Controllers,1,,1000W,,,,Sachet Inverter,,,
12/24/36/48v MPPT SMS 60ah Solar Charge Controller,125000.0,48V,,,,,,Charge Controllers,1,48V,,,60Ah,,MPPT SMS Solar Charge Controller,60,48,
Solar Battery 220ahs Gel Blue Power,270000.0,12V,,,,,,Charge Controllers,1,12V,,,,,Solar Battery Gel Blue Power,220,,
40a MPPT Tasha Energy Controller,85000.0,,,,,,,Charge Controllers,1,,,00040A,,,MPPT Tasha Energy Controller,40,,
60 Amps Grovolt MPPT Charge Controller,150000.0,,,,,,,Charge Controllers,1,,,00060A,,,Grovolt MPPT Charge Controller,60,,
Solar Controller,85000.0,,,,,,,Charge Controllers,1,,,,,,Solar Controller,,,
Sunfield 80ah Charge Controller,190000.0,,,,,,,Charge Controllers,1,,,,80Ah,,Sunfield Charge Controller,80,,
Felicity 30A MPPT Charge Controller,100000.0,,,,,,,Charge Controllers,1,,,30A,,,Felicity MPPT Charge Controller,30,,
60ah/48v Felicity Charge Controller,180000.0,48V,,,,,,Charge Controllers,1,48V,,,00060Ah,,Felicity Charge Controller,60,48,
60ah 24v 48v SMS MPPT Charge Controller,135000.0,24V,,,,,,Charge Controllers,1,24V,,,00060Ah,,SMS MPPT Charge Controller,60,24/48,
60A High Quality MPPT Solar Charge Controller,170000.0,,,,,,,Charge Controllers,1,,,00060A,,,High Quality MPPT Solar Charge Controller,60,,
60ah Yohako High Voltage MPPT Controller,150000.0,,,,,,,Charge Controllers,1,,,,00060Ah,,Yohako High Voltage MPPT Controller,60,,
100 Amps 48v Sunfield Charge Controller,183000.0,48V,,,,,,Charge Controllers,1,48V,,000100A,,,Sunfield Charge Controller,100,48,
"80amp, MPPT Inteligent Yohako Charge Controller",175000.0,,,,,,,Charge Controllers,1,,,00080A,,,MPPT Inteligent Yohako Charge Controller,80,,
Nuevo MPPT Charge Controller,180000.0,,,,,,,Charge Controllers,1,,,,,,Nuevo MPPT Charge Controller,,,
80amps Solar Charge Controller,175000.0,,,,,,,Charge Controllers,1,,,00080A,,,Solar Charge Controller,80,,
